name,address,latitude,longitude
의료법인정애의료재단서울초이스병원,"서울특별시 송파구 올림픽로 579, 서울초이스병원 지하2층~지상5층 (풍납동)",37.5338158,127.1211679
의료법인한국의료재단프라임병원,"서울특별시 중랑구 공릉로 76, (묵동)",37.6172336,127.0794651
인정병원,"서울특별시 은평구 응암로 164, (응암동)",37.5865312,126.9163518
자이비뇨의학과병원,"서울특별시 서초구 서운로 220, 대지스포츠프라자 4층 (서초동)",37.5027161,127.0217872
장스여성병원,"서울특별시 중랑구 용마산로117길 49, 장스여성병원 비동 (7층 일부제외)동 (망우동)",37.5997087,127.0975614
장튼위튼병원,"서울특별시 관악구 남부순환로 1867, (봉천동)",37.4798225,126.957342
정동병원,"서울특별시 동작구 양녕로 283, (상도1동)",37.5049384,126.9494571
정석병원,"서울특별시 노원구 노해로 502, 2층, 3층, 5층 (상계동)",37.654566,127.0636241
제니스병원,"서울특별시 광진구 자양로 215, (구의동)",37.5464849,127.0864991
제일정형외과병원,"서울특별시 강남구 영동대로 726, 경일빌딩 1~14층, 지하1~2층, 지하4~5층 (청담동)",37.5228163,127.0561257
조앤조병원,"서울특별시 중랑구 망우로 474, (망우동, 조앤조병원)",37.6003058,127.1047339
조은마디병원,"서울특별시 강동구 천호대로170길 19, (성내동)",37.5343839,127.1332256
조인트힐병원,"서울특별시 관악구 난곡로 215, (신림동)",37.4737183,126.9175762
