district_name,name,category,course,address
강남구,에스엔티(SNT)토론학원,국제화,실용외국어(유아/초·중·고),서울특별시 강남구 도곡로 519
강동구,강동세움수학학원,입시.검정 및 보습,보습,서울특별시 강동구 성안로 158-1
마포구,독심관리형독서실,직업기술,,서울특별시 마포구 월드컵북로 199
노원구,SBS아카데미게임입시학원,기타(대),컴퓨터(소),서울특별시 노원구 노해로 459
서초구,승승장구수학학원,입시.검정 및 보습,보습·논술,서울특별시 서초구 서초중앙로 238
서초구,신수학교습소,입시.검정 및 보습,,서울특별시 서초구 서초중앙로33길 14
서초구,그로우플래닛영어교습소,국제화,외국어,서울특별시 서초구 동광로19길 1
송파구,홍선생미술잠실아트센터미술교습소,예능(대),,서울특별시 송파구 풍성로20길 50
송파구,미술은미술교습소,예능(대),미술,서울특별시 송파구 송파대로 345
노원구,매스타트온라인수학원격학원,입시.검정 및 보습,보습,서울특별시 노원구 덕릉로126길 2
광진구,오늘의국어학원,입시.검정 및 보습,보습,서울특별시 광진구 광나루로 586
노원구,청담영어교습소,입시.검정 및 보습,,서울특별시 노원구 동일로245가길 41
성동구,디어메이아뜰리에미술교습소,예능(대),미술,서울특별시 성동구 왕십리로 410
송파구,비아하우스스타트관학원,입시.검정 및 보습,보습·논술,서울특별시 송파구 위례광장로 230
양천구,루브릭아카데미논술교습소,입시.검정 및 보습,보습·논술,서울특별시 양천구 목동서로 57
영등포구,링키영어신길도토리숲영어교습소,입시.검정 및 보습,,서울특별시 영등포구 신풍로 93
강남구,웨스턴미시건항공교육원학원,국제화,,서울특별시 강남구 강남대로84길 36
서초구,동제편입원격학원,인문사회(대),대학편입,서울특별시 서초구 강남대로53길 8
서대문구,루체테3관영어학원,입시.검정 및 보습,보습,서울특별시 서대문구 증가로 193
노원구,책나무은행사거리독서논술학원,입시.검정 및 보습,보습,서울특별시 노원구 노원로22길 77
강동구,세종디엘무용학원,예능(대),무용,서울특별시 강동구 천호대로219길 104
도봉구,삼성영어셀레나자운영어교습소,입시.검정 및 보습,보습,서울특별시 도봉구 마들로 555
강서구,글사람국어교습소,입시.검정 및 보습,,서울특별시 강서구 까치산로26길 14
강서구,씨투엠학원,입시.검정 및 보습,,서울특별시 강서구 마곡서로 133
강남구,마스터클래스입시컨설팅진학상담지도교습소,입시.검정 및 보습,,서울특별시 강남구 역삼로74길 5
관악구,참꿈힘수학학원,입시.검정 및 보습,보습,서울특별시 관악구 은천로25길 63
동작구,블루트리엔터아카데미학원,기예(대),,서울특별시 동작구 남부순환로 2053
서초구,카멜의숲미술학원,예능(대),미술,서울특별시 서초구 방배로 232
양천구,씨앤씨19관학원,입시.검정 및 보습,보습,서울특별시 양천구 목동서로 49
양천구,프리에르사회전문학원,입시.검정 및 보습,보습,서울특별시 양천구 목동서로 349
양천구,오늘국어학원,입시.검정 및 보습,보습·논술,서울특별시 양천구 목동동로 391
양천구,러셀보습학원,입시.검정 및 보습,,서울특별시 양천구 신월로 358
서초구,행꿈사아카데미원격학원,직업기술,경매,서울특별시 서초구 서초대로 350
강남구,애니벅스미술학원,예능(대),미술,서울특별시 강남구 강남대로102길 14
중구,이화뮤직피아노음악학원,예능(대),음악,서울특별시 중구 다산로22길 8
동작구,스타게이트연기학원,기예(대),"연기(연극,뮤지컬,오페라)",서울특별시 동작구 사당로 215
양천구,대치하이목동관학원,입시.검정 및 보습,보습·논술,서울특별시 양천구 목동중앙북로 33
강남구,일대일수학교습소,입시.검정 및 보습,,서울특별시 강남구 삼성로 155
마포구,파고다브라이트어학원,국제화,실용외국어(유아/초·중·고),서울특별시 마포구 굴레방로 17
영등포구,에듀이스트학원,입시.검정 및 보습,,서울특별시 영등포구 영등포로84길 16
서초구,융합인재학원,입시.검정 및 보습,,서울특별시 서초구 사평대로 150
강동구,차이수학교습소,입시.검정 및 보습,보습,서울특별시 강동구 상일로23길 7
송파구,엠제이영어학원,입시.검정 및 보습,보습,서울특별시 송파구 송파대로 369
