admin_code,admin_name,district_name,area_km2,station_count,station_density,bus_stop_count,bus_stop_density,hospital_count,hospital_density,school_count,school_density,mart_count,mart_density,convenience_count,convenience_density,laundry_count,laundry_density,academy_count,academy_density,park_count,park_density,park_area_sum,park_area_ratio
11170555,청파동,용산구,0.8862252656328571,0.0,0.0,24,27.081150730747336,22.0,24.824388169851726,8.0,9.027050243582446,16,18.05410048716489,26,29.33791329164295,22,24.824388169851726,71,80.1150709117942,1.0,1.1283812804478057,3447.0,0.0038895302737035863
11170560,원효로1동,용산구,0.5890170079511724,0.0,0.0,23,39.0481084408799,20.0,33.95487690511296,1.0,1.697743845255648,12,20.372926143067776,17,28.861645369346014,8,13.581950762045183,55,93.37591148906064,1.0,1.697743845255648,15000.0,0.025466157678834717
11170570,원효로2동,용산구,0.7089752322420965,0.0,0.0,22,31.03070318891983,7.0,9.873405560110855,3.0,4.231459525761795,14,19.74681112022171,11,15.515351594459915,7,9.873405560110855,46,64.88237939501418,1.0,1.410486508587265,2300.0,0.0032441189697507097
11170580,효창동,용산구,0.44619676003412123,1.0,2.2411637411341325,15,33.61745611701199,11.0,24.65280115247546,1.0,2.2411637411341325,5,11.205818705670664,8,17.92930992907306,3,6.723491223402398,43,96.3700408687677,1.0,2.2411637411341325,171277.0,0.38385980209023085
11170590,용문동,용산구,0.2775314320913555,1.0,3.6031954739844685,17,61.25432305773597,11.0,39.63515021382915,0.0,0.0,13,46.84154116179809,6,21.61917284390681,6,21.61917284390681,31,111.69905969351852,0.0,0.0,0.0,0.0
11170625,한강로동,용산구,2.869816086372262,7.0,2.439180696366055,41,14.286629793001179,88.0,30.663985897173262,3.0,1.0453631555854521,32,11.150540326244823,45,15.680447333781782,13,4.529907007536959,129,44.95061569017444,0.0,0.0,0.0,0.0
11170630,이촌1동,용산구,2.872766514185377,0.0,0.0,21,7.31002672730433,39.0,13.575763922136614,3.0,1.0442895324720471,8,2.7847720865921257,7,2.4366755757681102,5,1.7404825541200788,40,13.92386043296063,0.0,0.0,0.0,0.0
11170640,이촌2동,용산구,1.2055434048973068,0.0,0.0,8,6.636011584071893,3.0,2.4885043440269596,0.0,0.0,5,4.147507240044932,4,3.3180057920359465,4,3.3180057920359465,13,10.783518824116825,1.0,0.8295014480089866,480.0,0.00039816069504431355
11170650,이태원1동,용산구,0.5828985291582441,1.0,1.7155644592963486,16,27.449031348741578,17.0,29.164595808037927,0.0,0.0,22,37.74241810451967,21,36.02685364522332,3,5.146693377889046,34,58.32919161607585,1.0,1.7155644592963486,2020.0,0.0034654402077786244
11170660,이태원2동,용산구,0.8742434355398215,0.0,0.0,21,24.020769440531254,11.0,12.582307802183038,2.0,2.2876923276696433,15,17.157692457522323,13,14.87000012985268,6,6.86307698300893,47,53.760769700236615,1.0,1.1438461638348216,2858.0,0.0032691123362399203
11170685,한남동,용산구,3.0318971299887703,2.0,0.6596529876353053,33,10.884274295982538,37.0,12.203580271253148,1.0,0.32982649381765267,18,5.936876888717748,24,7.915835851623664,4,1.3193059752706107,118,38.91952627048301,0.0,0.0,0.0,0.0
11170690,서빙고동,용산구,2.8219479090508983,1.0,0.35436515209677577,22,7.796033346129067,0.0,0.0,2.0,0.7087303041935515,5,1.771825760483879,11,3.8980166730645336,3,1.0630954562903274,33,11.6940500191936,0.0,0.0,0.0,0.0
11170700,보광동,용산구,0.7150961470118985,0.0,0.0,9,12.585720168689775,8.0,11.187306816613134,2.0,2.7968267041532835,19,26.569853689456195,8,11.187306816613134,3,4.195240056229926,26,36.35874715399269,0.0,0.0,0.0,0.0
11200520,왕십리2동,성동구,0.372425439011494,0.0,0.0,13,34.90631583735285,19.0,51.01692314690032,1.0,2.6851012182579113,12,32.22121461909494,12,32.22121461909494,7,18.79570852780538,37,99.34874507554272,4.0,10.740404873031645,35219.2,0.09456711682606903
11200535,왕십리도선동,성동구,0.7102853662803323,1.0,1.4078848410419373,25,35.197121026048436,81.0,114.03867212439692,2.0,2.8157696820838747,21,29.565581661880685,19,26.74981197979681,17,23.934042297712935,103,145.01213862731956,7.0,9.855193887293561,14816.9,0.02086048890123428
11200540,마장동,성동구,1.0352756943451016,1.0,0.9659262797940829,28,27.04593583423432,18.0,17.38667303629349,4.0,3.8637051191763314,25,24.148156994852073,15,14.488894196911243,10,9.659262797940828,35,33.8074197927929,4.0,3.8637051191763314,3175.5,0.00306729890148611
11200550,사근동,성동구,1.1692159340044161,2.0,1.7105480192612958,40,34.21096038522592,7.0,5.9869180674145355,5.0,4.27637004815324,17,14.539658163721015,36,30.789864346703325,9,7.697466086675831,39,33.35568637559527,1.0,0.8552740096306479,4760.0,0.004071104285841884
11200560,행당1동,성동구,0.5735656163982691,4.0,6.9739187385711485,26,45.330471800712466,51.0,88.91746391678214,1.0,1.7434796846427871,15,26.15219526964181,16,27.895674954284594,10,17.434796846427872,91,158.65665130249363,0.0,0.0,0.0,0.0
11200570,행당2동,성동구,0.45766885988055206,1.0,2.1849858875279216,25,54.62464718819804,27.0,58.994618963253885,3.0,6.554957662583765,9,19.664872987751295,6,13.10991532516753,8,17.479887100223372,99,216.31360286526424,4.0,8.739943550111686,6324.3,0.013818506248492835
11200580,응봉동,성동구,0.5536615099492185,1.0,1.8061577011046324,33,59.60320413645287,7.0,12.643103907732426,2.0,3.6123154022092647,5,9.030788505523162,5,9.030788505523162,5,9.030788505523162,27,48.76625792982507,3.0,5.4184731033138975,2419.7,0.004370359789362879
